Neighborhoods,Latitude,Longitude
Alphabet City,40.725990000000024,-73.98056999999994
Battery Park City,40.711310000000026,-74.01589999999999
Carnegie Hill,40.76489000000004,-73.98027999999994
Chelsea,40.60119000000003,-74.19554999999997
Chinatown,40.71646000000004,-73.99675999999994
East Harlem,40.798280000000034,-73.94080999999994
East Village,40.72804000000008,-73.98498999999998
Financial District,40.709010000000035,-74.01060999999999
Flatiron District,40.73942000000005,-73.99034999999998
Gramercy Park,40.73682000000008,-73.98458999999997
Greenwich Village,40.72856000000007,-74.00488999999999
Harlem,40.80881000000005,-73.94795999999997
Hell's Kitchen/Clinton,40.761520000000075,-73.99060999999995
Inwood,40.865950000000055,-73.92606999999998
Kips Bay,40.74213000000003,-73.97780999999998
Lincoln Square,40.77688000000006,-73.98320999999999
Lower East Side,40.71693000000005,-73.98422999999997
Manhattan Valley,40.710368648298,-73.99221892226547
Midtown East,40.75090000000006,-73.96441999999996
Midtown West,40.74977000000007,-73.99545999999998
Morningside Heights,40.81053000000003,-73.96205999999995
Murray Hill,40.76583000000005,-73.80841999999996
NoLita/Little Italy,40.72130000000004,-73.99733999999995
Roosevelt Island,40.764560000000074,-73.94731999999993
SoHo,40.72520000000003,-74.00414999999998
Tribeca,40.718540000000075,-74.00887999999998
Upper East Side,40.770620000000065,-73.95702999999997
Upper West Side,40.79251000000005,-73.97319999999996
Washington Heights,40.849830000000054,-73.93602999999996
West Village,40.73497000000003,-74.00482999999997
Baychester/Co-op City,40.86940015442132,-73.82607071392648
Bedford Park,40.86999000000003,-73.88572999999997
Belmont,40.85546000000005,-73.88568999999995
Bronxdale,40.85008000000005,-73.86682999999994
Castle Hill,40.82029000000006,-73.84831999999994
City Island,40.84702000000004,-73.78757999999993
Concourse Village/Grand Concourse/Morrisania,40.84849189428506,-73.90661652853986
Country Club,40.84623000000005,-73.82070999999996
Fieldston,40.89561000000003,-73.90084999999993
Fordham,40.858940000000075,-73.89884999999998
Hunts Point,40.81242000000003,-73.88449999999995
Kingsbridge,40.88370000000003,-73.90272999999996
Kingsbridge Heights,40.87239000000005,-73.90153999999995
